,Mar-2026,Feb-2026,Jan-2026,Dec-2025,Nov-2025,Oct-2025,Sep-2025,Aug-2025,Jul-2025,Jun-2025,May-2025,Apr-2025,Mar-2025,Feb-2025,Jan-2025,Dec-2024,Nov-2024,Oct-2024,Sep-2024,Aug-2024,Jul-2024,Jun-2024,May-2024,Apr-2024,Mar-2024,Feb-2024,Jan-2024,Dec-2023,Nov-2023,Oct-2023,Sep-2023,Aug-2023,Jul-2023,Jun-2023,May-2023,Apr-2023,Mar-2023,Feb-2023,Jan-2023,Dec-2022,Nov-2022,Oct-2022,Sep-2022,Aug-2022,Jul-2022,Jun-2022,May-2022,Apr-2022,Mar-2022,Feb-2022,Jan-2022
ELSS,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹15,000","₹15,000","₹15,000","₹5,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000",₹0,₹0,₹0,"₹30,500","₹10,000",₹0,₹0,₹0,,,,,,,
PPF,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹12,500","₹12,500","₹12,500","₹12,500","₹12,500","₹12,500",₹0,₹0,₹0,₹0,₹0,"₹1,000",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,000",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,000",,,,,,
US Stocks,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,
US MF,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,
NPS T1,"₹7,000","₹7,000","₹7,000","₹7,000","₹7,000","₹7,000","₹7,000","₹7,000","₹7,000","₹7,000","₹7,000","₹7,000","₹6,500","₹6,500","₹6,500","₹6,500","₹6,500","₹6,500","₹6,500","₹6,500","₹6,500","₹6,500","₹6,500","₹6,500","₹6,000","₹6,000","₹6,000","₹6,000","₹6,000","₹6,000","₹6,000","₹6,000","₹6,000","₹6,000","₹6,000","₹6,000","₹6,000","₹5,000","₹5,000","₹6,500","₹6,500","₹6,500","₹6,500","₹6,500",,,,,,,
NPS T2,"₹11,000","₹11,000","₹11,000","₹11,000","₹11,000","₹11,000","₹11,000","₹11,000","₹11,000","₹11,000","₹11,000","₹11,000","₹10,000","₹10,000","₹10,000","₹10,000","₹10,000","₹10,000","₹10,000","₹10,000","₹10,000","₹10,000","₹10,000","₹10,000","₹8,500","₹14,000","₹14,000","₹14,000","₹14,000","₹14,000","₹8,500","₹14,000","₹14,000","₹8,500","₹8,500","₹8,500","₹8,500","₹8,500","₹8,500","₹50,000","₹39,000","₹20,000","₹40,000",₹0,,,,,,,
FD,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹50,000",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,
RD,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹10,000","₹10,000","₹10,000","₹10,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000","₹15,000",₹0,"₹1,500","₹1,500","₹11,500","₹11,500",,,,,,,
SGB Gold ,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹53,590",₹0,₹0,₹0,₹0,,,,,,,
TradeCred,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹40,000",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,00,000",₹0,"₹1,00,000",₹0,"₹38,164","₹17,800",₹0,"₹10,000",,,,,,,
Digital Gold,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹73,893",₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,,,,,,,,,,,,,,,,,,,
Tresury Bill,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,
Bonds,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,
12%,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹50,000",,,,,,,
CRYPTO,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,,,,,,,
Investment,"₹39,000","₹2,89,000","₹1,41,000","₹98,000","₹2,18,000","₹1,03,782","₹1,10,000","₹1,10,000","₹1,11,000","₹2,91,000","₹91,000","₹91,000","₹1,65,025","₹1,02,000","₹1,02,000","₹1,07,000","₹1,07,000","₹47,000","₹1,43,500","-₹18,007","₹51,500","₹91,500","₹51,500","₹52,500","-₹28,318","₹65,000","₹65,000","₹1,05,000","₹73,000","₹70,000","₹64,500","₹70,000","₹71,000","₹1,49,500","₹69,500","₹75,500","₹2,57,100","₹1,23,500","₹1,56,500","₹1,82,590","₹1,63,164","₹65,800","₹99,500","₹90,000",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bills,"₹98,790","₹1,48,790","₹1,07,182","₹1,65,846","₹99,667","₹1,74,021","₹1,29,818","₹1,28,667","₹1,03,602","₹1,03,837","₹1,14,080","₹1,78,305","₹1,25,723","₹1,04,795","₹1,19,169","₹2,85,582","₹1,44,887","₹1,82,385","₹96,621","₹1,31,060","₹1,09,882","₹49,300","₹65,262","₹68,957","₹2,54,587","₹78,021","₹26,721","₹62,603","₹1,00,934","₹72,738","₹54,175","₹55,348","₹1,98,386","₹60,538","₹55,042","₹32,646","₹39,461","₹32,769","₹37,111","₹80,244","₹65,047","₹42,086","₹71,392","₹60,002",,,,,,,
